iter	Passed	Remaining
184	401	1767
185	402	1763
186	404	1757
187	405	1751
188	406	1745
189	407	1738
190	408	1731
191	409	1725
192	411	1718
193	412	1712
194	413	1707
195	415	1703
196	416	1698
197	418	1693
198	419	1688
199	420	1683
200	422	1678
201	423	1674
202	425	1670
203	426	1665
204	428	1659
205	429	1654
206	430	1648
207	431	1643
208	432	1637
209	433	1631
210	434	1626
211	436	1622
212	437	1618
213	439	1613
214	440	1608
215	441	1603
216	443	1599
217	444	1594
218	445	1590
219	447	1585
220	448	1580
221	449	1575
222	450	1570
223	451	1565
224	452	1559
225	453	1554
226	455	1549
227	456	1544
228	458	1543
229	460	1540
230	461	1536
231	462	1531
232	463	1527
233	465	1523
234	466	1519
235	468	1517
236	469	1513
237	471	1508
238	472	1505
239	474	1501
240	475	1497
241	476	1493
242	478	1489
243	479	1486
244	481	1484
245	482	1480
246	484	1476
247	485	1473
248	487	1469
249	488	1465
250	489	1461
251	491	1458
252	492	1454
253	493	1450
254	495	1446
255	496	1442
256	497	1438
257	498	1434
258	500	1431
259	503	1432
260	505	1431
261	507	1428
262	508	1426
263	510	1423
264	511	1419
265	512	1415
266	515	1415
267	517	1413
268	518	1409
269	520	1405
270	521	1401
271	522	1397
272	523	1393
273	524	1389
274	527	1391
275	529	1389
276	531	1386
277	532	1382
278	533	1379
279	534	1375
280	536	1371
281	537	1367
282	538	1363
283	539	1359
284	540	1355
285	541	1352
286	542	1348
287	543	1344
288	545	1341
289	546	1337
290	549	1338
291	550	1335
292	552	1333
293	554	1330
294	555	1327
295	556	1324
296	558	1321
297	559	1318
298	561	1315
299	562	1312
300	563	1308
301	564	1305
302	565	1301
303	566	1297
304	567	1294
305	569	1290
306	572	1291
307	573	1289
308	575	1286
309	576	1283
310	578	1281
311	579	1278
312	580	1274
313	581	1271
314	583	1267
315	584	1264
316	585	1261
317	586	1257
318	587	1254
319	588	1251
320	589	1247
321	591	1244
322	593	1243
323	594	1240
324	596	1238
325	597	1235
326	598	1232
327	600	1230
328	601	1226
329	602	1223
330	603	1220
331	604	1217
332	605	1213
333	607	1210
334	608	1207
335	609	1204
336	610	1200
337	611	1197
338	612	1194
339	615	1195
340	617	1192
341	618	1190
342	619	1187
343	620	1184
344	622	1181
345	623	1178
346	624	1175
347	625	1172
348	626	1169
349	628	1166
350	629	1163
351	630	1160
352	631	1157
353	632	1154
354	633	1151
355	634	1148
356	635	1145
357	638	1144
358	639	1142
359	641	1140
360	642	1137
361	643	1134
362	645	1131
363	646	1129
364	647	1126
365	648	1123
366	649	1120
367	650	1117
368	651	1114
369	653	1111
370	654	1109
371	655	1106
372	656	1103
373	657	1100
374	659	1099
375	661	1097
376	662	1094
377	663	1091
378	664	1088
379	665	1085
380	666	1082
381	667	1080
382	668	1077
383	670	1074
384	671	1072
385	672	1069
386	673	1066
387	674	1063
388	675	1061
389	676	1058
390	677	1055
391	678	1052
392	679	1050
393	681	1047
394	683	1046
395	684	1043
396	685	1041
397	686	1038
398	687	1035
399	688	1033
400	689	1030
401	691	1028
402	692	1025
403	693	1022
404	694	1020
405	695	1017
406	696	1015
407	697	1012
408	699	1010
409	700	1007
410	701	1004
411	702	1002
412	703	1000
413	705	998
414	706	995
415	707	993
416	708	990
417	709	988
418	710	985
419	712	983
420	713	980
421	714	978
422	715	975
423	716	973
424	717	970
425	718	968
426	719	965
427	720	963
428	721	960
429	723	958
430	724	956
431	725	953
432	727	952
433	728	950
434	729	947
435	730	945
436	731	942
437	733	940
438	734	938
439	735	935
440	736	933
441	737	930
442	738	928
443	739	926
444	741	924
445	742	922
446	744	920
447	745	918
448	747	916
449	748	915
450	750	913
451	751	911
452	752	909
453	754	906
454	755	905
455	756	903
456	758	900
457	759	898
458	760	896
459	761	893
460	762	891
461	763	889
